id,status,participants,startCoords,finishCoords,winnerId,startTime,endTime
race-hist-42001-0,finished,"[""drv-syn-012"",""drv-syn-037""]","{""latitude"":34.00525105935522,""longitude"":-118.40365888790693}","{""latitude"":34.012588097250834,""longitude"":-118.40634225650372}",drv-syn-037,2026-01-01T10:45:40.158Z,2026-01-01T10:46:46.832Z
race-hist-42001-1,finished,"[""drv-syn-006"",""drv-syn-022""]","{""latitude"":34.089223946700805,""longitude"":-118.22655089511535}","{""latitude"":34.091000263092134,""longitude"":-118.21216527724059}",drv-syn-022,2025-10-23T17:40:56.736Z,2025-10-23T17:41:36.501Z
race-hist-42001-2,finished,"[""drv-syn-050"",""drv-syn-011""]","{""latitude"":34.070773338712755,""longitude"":-118.2701792779495}","{""latitude"":34.06216759636466,""longitude"":-118.26859159750612}",drv-syn-011,2026-02-11T09:39:02.361Z,2026-02-11T09:39:39.951Z
race-hist-42001-3,finished,"[""drv-syn-030"",""drv-syn-017""]","{""latitude"":34.11080390569288,""longitude"":-118.45948005550308}","{""latitude"":34.111546961648585,""longitude"":-118.45618676818259}",drv-syn-030,2025-12-13T15:13:38.159Z,2025-12-13T15:14:56.943Z
race-hist-42001-4,finished,"[""drv-syn-038"",""drv-syn-028""]","{""latitude"":34.11763627326116,""longitude"":-118.3985079905251}","{""latitude"":34.10513593247584,""longitude"":-118.40180806754934}",drv-syn-028,2026-02-23T08:44:50.172Z,2026-02-23T08:45:17.678Z
race-hist-42001-5,finished,"[""drv-syn-020"",""drv-syn-022""]","{""latitude"":34.05251952721738,""longitude"":-118.49544108225963}","{""latitude"":34.046309907176436,""longitude"":-118.50962395915622}",drv-syn-020,2026-01-13T14:34:57.392Z,2026-01-13T14:36:00.148Z
race-hist-42001-6,finished,"[""drv-syn-025"",""drv-syn-003""]","{""latitude"":33.953424090347255,""longitude"":-118.47949326746165}","{""latitude"":33.95135307944947,""longitude"":-118.4836711319388}",drv-syn-025,2026-03-08T00:29:50.610Z,2026-03-08T00:30:17.340Z
race-hist-42001-7,finished,"[""drv-syn-039"",""drv-syn-018""]","{""latitude"":34.02120644742623,""longitude"":-118.3075986438198}","{""latitude"":34.02785332115729,""longitude"":-118.30842844567918}",drv-syn-018,2025-11-27T16:23:21.519Z,2025-11-27T16:23:49.356Z
race-hist-42001-8,finished,"[""drv-syn-009"",""drv-syn-046""]","{""latitude"":34.11375483236741,""longitude"":-118.51851856787688}","{""latitude"":34.10185966945013,""longitude"":-118.51673245881675}",drv-syn-046,2025-11-29T17:45:41.980Z,2025-11-29T17:46:48.572Z
race-hist-42001-9,finished,"[""drv-syn-009"",""drv-syn-050""]","{""latitude"":34.137458802578045,""longitude"":-118.41219442262081}","{""latitude"":34.13481874501945,""longitude"":-118.428610601226}",drv-syn-009,2025-12-27T00:19:05.471Z,2025-12-27T00:20:13.205Z
race-hist-42001-10,finished,"[""drv-syn-006"",""drv-syn-022""]","{""latitude"":34.054117822996346,""longitude"":-118.43169448446714}","{""latitude"":34.04827653356686,""longitude"":-118.42749408932467}",drv-syn-022,2025-11-19T00:47:22.857Z,2025-11-19T00:48:19.093Z
race-hist-42001-11,finished,"[""drv-syn-023"",""drv-syn-005""]","{""latitude"":34.107600321564824,""longitude"":-118.32238777271705}","{""latitude"":34.10632124692993,""longitude"":-118.30857328177625}",drv-syn-023,2026-02-08T18:38:35.203Z,2026-02-08T18:39:19.893Z
race-hist-42001-12,finished,"[""drv-syn-007"",""drv-syn-046""]","{""latitude"":34.13475076999516,""longitude"":-118.357382269355}","{""latitude"":34.12236521540342,""longitude"":-118.36038696888862}",drv-syn-007,2025-11-23T16:22:40.481Z,2025-11-23T16:23:28.514Z
race-hist-42001-13,finished,"[""drv-syn-048"",""drv-syn-023""]","{""latitude"":34.093452942296864,""longitude"":-118.25934524004114}","{""latitude"":34.085300724036394,""longitude"":-118.25470293975128}",drv-syn-048,2026-01-20T20:52:20.024Z,2026-01-20T20:52:59.689Z
race-hist-42001-14,finished,"[""drv-syn-041"",""drv-syn-046""]","{""latitude"":34.14785143579357,""longitude"":-118.3331460654852}","{""latitude"":34.14863091780756,""longitude"":-118.33977537532407}",drv-syn-046,2025-12-06T20:23:22.104Z,2025-12-06T20:24:03.975Z
race-hist-42001-15,finished,"[""drv-syn-050"",""drv-syn-021""]","{""latitude"":34.06653380680364,""longitude"":-118.41725283976412}","{""latitude"":34.071521665045154,""longitude"":-118.39957073362515}",drv-syn-021,2026-01-31T07:06:34.238Z,2026-01-31T07:07:48.880Z
race-hist-42001-16,finished,"[""drv-syn-016"",""drv-syn-029""]","{""latitude"":33.950979600665164,""longitude"":-118.44228670223383}","{""latitude"":33.94723372470663,""longitude"":-118.43805881286966}",drv-syn-016,2026-01-06T19:19:25.409Z,2026-01-06T19:20:27.355Z
race-hist-42001-17,finished,"[""drv-syn-012"",""drv-syn-006""]","{""latitude"":34.02449048849754,""longitude"":-118.26191941038705}","{""latitude"":34.02063194304797,""longitude"":-118.2615229816854}",drv-syn-006,2025-10-17T22:49:51.919Z,2025-10-17T22:50:38.200Z
race-hist-42001-18,finished,"[""drv-syn-023"",""drv-syn-039""]","{""latitude"":34.094118595807814,""longitude"":-118.5236865793704}","{""latitude"":34.10288414818344,""longitude"":-118.50791297380407}",drv-syn-039,2025-10-07T14:52:02.305Z,2025-10-07T14:53:25.114Z
race-hist-42001-19,finished,"[""drv-syn-044"",""drv-syn-008""]","{""latitude"":34.12033014905639,""longitude"":-118.54505936123896}","{""latitude"":34.108589453080604,""longitude"":-118.54518216164584}",drv-syn-008,2025-11-12T21:43:22.640Z,2025-11-12T21:44:16.465Z
race-hist-42001-20,finished,"[""drv-syn-028"",""drv-syn-019""]","{""latitude"":33.98935459751636,""longitude"":-118.2181062582531}","{""latitude"":33.99128368807368,""longitude"":-118.22303765152583}",drv-syn-028,2025-11-11T07:57:35.316Z,2025-11-11T07:57:51.513Z
race-hist-42001-21,finished,"[""drv-syn-032"",""drv-syn-018""]","{""latitude"":33.991347550279464,""longitude"":-118.283062184765}","{""latitude"":34.00035213885389,""longitude"":-118.29411586142383}",drv-syn-032,2026-01-23T12:23:40.343Z,2026-01-23T12:24:25.159Z
race-hist-42001-22,finished,"[""drv-syn-025"",""drv-syn-040""]","{""latitude"":34.09895779557992,""longitude"":-118.22328012811485}","{""latitude"":34.097287585085624,""longitude"":-118.21726062992934}",drv-syn-025,2025-10-10T12:06:56.365Z,2025-10-10T12:08:05.852Z
race-hist-42001-23,finished,"[""drv-syn-050"",""drv-syn-045""]","{""latitude"":34.012153878118845,""longitude"":-118.41792705931002}","{""latitude"":34.01461780087859,""longitude"":-118.41439685020063}",drv-syn-045,2026-01-30T14:48:46.187Z,2026-01-30T14:49:05.754Z
